Coverage,Effect size,Iteration,Test,Value,p
0.928571428571,1.37327656948,0,Pleasantness/Flowers,1.31998806866,1e-06
1.0,1.24019316387,0,Gender/Career,0.440678086132,0.007125
0.975,1.03641862817,0,Unpleasentness/Asian,0.237241752632,0.001111
1.0,1.57163316253,0,Unpleasantness/Turkish,0.393059752509,3.2e-05
1.0,1.28998095435,0,Unpleasantness/Islam,0.261018148065,0.011012
1.0,0.486016729447,0,Gender/Competence,0.164625607617,0.112701
1.0,-1.19800336347,0,Gender/Sciences,-0.198077909066,0.987939
0.928571428571,1.37327656948,1,Pleasantness/Flowers,1.31998806866,1e-06
1.0,1.24019316387,1,Gender/Career,0.440678086132,0.007125
0.975,1.03641862817,1,Unpleasentness/Asian,0.237241752632,0.001111
1.0,1.57163316253,1,Unpleasantness/Turkish,0.393059752509,3.2e-05
1.0,1.28998095435,1,Unpleasantness/Islam,0.261018148065,0.011012
1.0,0.486016729447,1,Gender/Competence,0.164625607617,0.112701
1.0,-1.19800336347,1,Gender/Sciences,-0.198077909066,0.987939
0.928571428571,1.37327656948,2,Pleasantness/Flowers,1.31998806866,1e-06
1.0,1.24019316387,2,Gender/Career,0.440678086132,0.007125
0.975,1.03641862817,2,Unpleasentness/Asian,0.237241752632,0.001111
1.0,1.57163316253,2,Unpleasantness/Turkish,0.393059752509,3.2e-05
1.0,1.28998095435,2,Unpleasantness/Islam,0.261018148065,0.011012
1.0,0.486016729447,2,Gender/Competence,0.164625607617,0.112701
1.0,-1.19800336347,2,Gender/Sciences,-0.198077909066,0.987939
0.928571428571,1.37327656948,3,Pleasantness/Flowers,1.31998806866,1e-06
1.0,1.24019316387,3,Gender/Career,0.440678086132,0.007125
0.975,1.03641862817,3,Unpleasentness/Asian,0.237241752632,0.001111
1.0,1.57163316253,3,Unpleasantness/Turkish,0.393059752509,3.2e-05
1.0,1.28998095435,3,Unpleasantness/Islam,0.261018148065,0.011012
1.0,0.486016729447,3,Gender/Competence,0.164625607617,0.112701
1.0,-1.19800336347,3,Gender/Sciences,-0.198077909066,0.987939
0.928571428571,1.37327656948,4,Pleasantness/Flowers,1.31998806866,1e-06
1.0,1.24019316387,4,Gender/Career,0.440678086132,0.007125
0.975,1.03641862817,4,Unpleasentness/Asian,0.237241752632,0.001111
1.0,1.57163316253,4,Unpleasantness/Turkish,0.393059752509,3.2e-05
1.0,1.28998095435,4,Unpleasantness/Islam,0.261018148065,0.011012
1.0,0.486016729447,4,Gender/Competence,0.164625607617,0.112701
1.0,-1.19800336347,4,Gender/Sciences,-0.198077909066,0.987939
0.928571428571,1.37327656948,5,Pleasantness/Flowers,1.31998806866,1e-06
1.0,1.24019316387,5,Gender/Career,0.440678086132,0.007125
0.975,1.03641862817,5,Unpleasentness/Asian,0.237241752632,0.001111
1.0,1.57163316253,5,Unpleasantness/Turkish,0.393059752509,3.2e-05
1.0,1.28998095435,5,Unpleasantness/Islam,0.261018148065,0.011012
1.0,0.486016729447,5,Gender/Competence,0.164625607617,0.112701
1.0,-1.19800336347,5,Gender/Sciences,-0.198077909066,0.987939
0.928571428571,1.37327656948,6,Pleasantness/Flowers,1.31998806866,1e-06
1.0,1.24019316387,6,Gender/Career,0.440678086132,0.007125
0.975,1.03641862817,6,Unpleasentness/Asian,0.237241752632,0.001111
1.0,1.57163316253,6,Unpleasantness/Turkish,0.393059752509,3.2e-05
1.0,1.28998095435,6,Unpleasantness/Islam,0.261018148065,0.011012
1.0,0.486016729447,6,Gender/Competence,0.164625607617,0.112701
1.0,-1.19800336347,6,Gender/Sciences,-0.198077909066,0.987939
