skipgram,dimension,contextwindow,accuracy,topnaccuracy,time
skipGram 0, size: 100, window 5, [49.825, 164.0], 30398.619926
skipGram 0, size: 100, window 10, [49.599999999999994, 160.60000000000002], 33808.02758
skipGram 0, size: 100, window 15, [48.45, 159.3], 30879.32945
skipGram 0, size: 300, window 5, [52.25, 179.2], 48404.479919
skipGram 0, size: 300, window 10, [51.225, 174.7], 50467.697034
skipGram 0, size: 300, window 15, [51.099999999999994, 169.8], 49611.024036
skipGram 0, size: 500, window 5, [51.8, 183.3], 67713.712228
skipGram 0, size: 500, window 10, [50.375, 174.2], 63685.126489
skipGram 0, size: 500, window 15, [49.925, 172.1], 63701.017868
skipGram 1, size: 100, window 5, [56.85, 186.9], 78902.589091
skipGram 1, size: 100, window 10, [55.574999999999996, 174.5], 107135.96589
skipGram 1, size: 100, window 15, [54.349999999999994, 174.8], 123100.933384
skipGram 1, size: 300, window 5, [59.7, 199.2], 129846.378407
skipGram 1, size: 300, window 10, [58.199999999999996, 195.8], 178328.796244
skipGram 1, size: 300, window 15, [57.650000000000006, 193.20000000000002], 203836.478844
skipGram 1, size: 500, window 5, [59.575, 205.6], 179480.334022
skipGram 1, size: 500, window 10, [58.074999999999996, 202.39999999999998], 249181.932857
skipGram 1, size: 500, window 15, [58.125, 197.9], 283763.110101
skipGram 0, size: 200, window 5, [44.475, 158.7], 52625.512108
skipGram 0, size: 100, window 3, [40.575, 134.9], 42415.102891
skipGram 0, size: 200, window 10, [45.5, 161.1], 61392.871217
skipGram 0, size: 100, window 7, [42.375, 143.39999999999998], 43440.724439
skipGram 0, size: 200, window 15, [57.175, 197.10000000000002], 72813.963676
skipGram 0, size: 200, window 3, [43.425, 150.9], 86268.682016
skipGram 0, size: 400, window 5, [46.425000000000004, 169.8], 114274.310756
skipGram 0, size: 200, window 7, [44.925, 159.0], 77104.040618
skipGram 0, size: 400, window 10, [47.35, 168.0], 128016.894786
skipGram 0, size: 400, window 15, [46.825, 162.2], 83381.323015
skipGram 0, size: 300, window 3, [44.975, 163.39999999999998], 92580.934848
skipGram 1, size: 200, window 5, [56.7, 187.89999999999998], 230510.455442
skipGram 0, size: 300, window 7, [46.150000000000006, 167.29999999999998], 95009.418317
skipGram 0, size: 400, window 3, [45.6, 171.10000000000002], 104159.921318
skipGram 0, size: 400, window 7, [46.175, 169.8], 107148.700447
skipGram 0, size: 500, window 3, [46.825, 174.0], 129719.463341
skipGram 1, size: 200, window 10, [57.025, 189.60000000000002], 372290.427479
skipGram 0, size: 500, window 7, [47.349999999999994, 170.10000000000002], 134851.293237
skipGram 1, size: 300, window 3, [55.9, 190.1], 234782.141183
skipGram 1, size: 200, window 15, [56.4, 187.1], 480056.419629
skipGram 1, size: 300, window 7, [57.5, 195.4], 428428.668638
skipGram 1, size: 400, window 5, [57.4, 199.9], 445020.853025
skipGram 1, size: 400, window 3, [55.0, 199.8], 310074.160814
skipGram 1, size: 400, window 10, [57.9, 200.1], 639815.962821
skipGram 1, size: 400, window 7, [57.425000000000004, 197.7], 523137.146072
skipGram 1, size: 500, window 3, [56.0, 198.8], 362392.467142
skipGram 1, size: 400, window 15, [57.275000000000006, 194.3], 713983.49746
skipGram 1, size: 500, window 7, [57.300000000000004, 201.9], 473596.296219
