skipgram,dimension,contextwindow,accuracy
0,100,5,49.825
0,100,10,49.599999999999994
0,100,15,48.45
0,300,5,52.25
0,300,10,51.225
0,300,15,51.099999999999994
0,500,5,51.8
0,500,10,50.375
0,500,15,49.925
1,100,5,56.85
1,100,10,55.574999999999996
1,100,15,54.349999999999994
1,300,5,59.7
1,300,10,58.199999999999996
1,300,15,57.650000000000006
1,500,5,59.575
1,500,10,58.074999999999996
1,500,15,58.125
0,200,5,44.475
0,100,3,40.575
0,200,10,45.5
0,100,7,42.375
0,200,15,57.175
0,200,3,43.425
0,400,5,46.425000000000004
0,200,7,44.925
0,400,10,47.35
0,400,15,46.825
0,300,3,44.975
1,200,5,56.7
0,300,7,46.150000000000006
0,400,3,45.6
0,400,7,46.175
0,500,3,46.825
1,200,10,57.025
0,500,7,47.349999999999994
1,300,3,55.9
1,200,15,56.4
1,300,7,57.5
1,400,5,57.4
1,400,3,55.0
1,400,10,57.9
1,400,7,57.425000000000004
1,500,3,56.0
1,400,15,57.275000000000006
1,500,7,57.300000000000004
