CoverageA,CoverageACount,CoverageB,CoverageBCount,CoverageX,CoverageXCount,CoverageY,CoverageYCount,Effect size,Iteration,Sampling Rate,Test,Value,p
0.9,9.0,0.8,8.0,0.04,1.0,0.12,3.0,1.21131937227,0,0.01,Pleasantness/Flowers,0.105936798319,0.166382
1.0,5.0,0.8,4.0,0.857142857143,6.0,1.0,7.0,1.59109532119,0,0.01,Gender/Career,0.610568572395,4.6e-05
0.9,9.0,0.8,8.0,1.0,10.0,0.1,1.0,2.70685781474,0,0.01,Unpleasentness/Asian,0.321335594299,0.0
0.9,9.0,0.8,8.0,1.0,10.0,0.6,6.0,1.61986598594,0,0.01,Unpleasantness/Turkish,0.605076090045,0.0
0.9,9.0,0.8,8.0,0.833333333333,5.0,0.666666666667,4.0,1.53153286415,0,0.01,Unpleasantness/Islam,0.387436243292,0.007854
0.6,3.0,0.0,0.0,0.692307692308,9.0,0.153846153846,2.0,,0,0.01,Gender/Competence,,
1.0,8.0,1.0,8.0,0.666666666667,4.0,0.714285714286,5.0,0.624340664901,0,0.01,Gender/Sciences,0.022833511699,0.174894
0.9,9.0,0.8,8.0,0.04,1.0,0.08,2.0,1.32907396667,1,0.01,Pleasantness/Flowers,0.121349135259,0.0
1.0,5.0,0.8,4.0,0.857142857143,6.0,1.0,7.0,1.4262192868,1,0.01,Gender/Career,0.610568572395,5.1e-05
0.9,9.0,0.8,8.0,1.0,10.0,0.1,1.0,2.0565587323,1,0.01,Unpleasentness/Asian,0.321335594299,0.0
0.9,9.0,0.8,8.0,1.0,10.0,0.5,5.0,1.79406719019,1,0.01,Unpleasantness/Turkish,0.610483308349,0.0
0.9,9.0,0.8,8.0,0.833333333333,5.0,0.666666666667,4.0,1.09921074023,1,0.01,Unpleasantness/Islam,0.387436243292,0.008048
0.4,2.0,0.0,0.0,0.692307692308,9.0,0.230769230769,3.0,,1,0.01,Gender/Competence,,
1.0,8.0,1.0,8.0,0.666666666667,4.0,0.714285714286,5.0,-1.27983761392,1,0.01,Gender/Sciences,0.022833511699,0.174675
0.9,9.0,0.8,8.0,0.04,1.0,0.08,2.0,1.33411652631,2,0.01,Pleasantness/Flowers,0.0295227937297,0.0
1.0,5.0,0.8,4.0,0.857142857143,6.0,1.0,7.0,0.923386778364,2,0.01,Gender/Career,0.610568572395,3.9e-05
0.9,9.0,0.8,8.0,1.0,10.0,0.2,2.0,1.94105407005,2,0.01,Unpleasentness/Asian,0.368481894257,0.0
0.9,9.0,0.8,8.0,1.0,10.0,0.5,5.0,1.87844829233,2,0.01,Unpleasantness/Turkish,0.554439718447,0.0
0.9,9.0,0.8,8.0,0.833333333333,5.0,0.666666666667,4.0,1.58318727208,2,0.01,Unpleasantness/Islam,0.387436243292,0.007835
1.0,5.0,0.0,0.0,0.692307692308,9.0,0.230769230769,3.0,,2,0.01,Gender/Competence,,
1.0,8.0,1.0,8.0,0.666666666667,4.0,0.714285714286,5.0,0.774247039595,2,0.01,Gender/Sciences,0.022833511699,0.174859
0.9,9.0,0.8,8.0,0.04,1.0,0.12,3.0,1.26715120858,3,0.01,Pleasantness/Flowers,0.105936798319,0.167032
1.0,5.0,0.8,4.0,0.857142857143,6.0,1.0,7.0,1.03166094254,3,0.01,Gender/Career,0.610568572395,3.7e-05
0.9,9.0,0.8,8.0,1.0,10.0,0.2,2.0,1.41574316319,3,0.01,Unpleasentness/Asian,0.368481894257,0.0
0.9,9.0,0.8,8.0,1.0,10.0,0.7,7.0,1.56577931374,3,0.01,Unpleasantness/Turkish,0.626567995409,0.0
0.9,9.0,0.8,8.0,0.833333333333,5.0,0.666666666667,4.0,1.50081299893,3,0.01,Unpleasantness/Islam,0.387436243292,0.007905
0.6,3.0,0.0,0.0,0.692307692308,9.0,0.307692307692,4.0,,3,0.01,Gender/Competence,,
1.0,8.0,1.0,8.0,0.666666666667,4.0,0.714285714286,5.0,-1.02354394433,3,0.01,Gender/Sciences,0.022833511699,0.175446
0.9,9.0,0.8,8.0,0.04,1.0,0.12,3.0,1.3674040611,4,0.01,Pleasantness/Flowers,0.105936798319,0.167448
1.0,5.0,0.8,4.0,0.857142857143,6.0,1.0,7.0,1.56104595063,4,0.01,Gender/Career,0.610568572395,4.2e-05
0.9,9.0,0.8,8.0,1.0,10.0,0.2,2.0,0.98293643183,4,0.01,Unpleasentness/Asian,0.329013333216,0.0
0.9,9.0,0.8,8.0,1.0,10.0,0.7,7.0,1.71121234309,4,0.01,Unpleasantness/Turkish,0.626567995409,0.0
0.9,9.0,0.8,8.0,0.833333333333,5.0,0.5,3.0,1.63621416921,4,0.01,Unpleasantness/Islam,0.371989664518,0.014292
0.4,2.0,0.0,0.0,0.692307692308,9.0,0.230769230769,3.0,,4,0.01,Gender/Competence,,
1.0,8.0,1.0,8.0,0.666666666667,4.0,0.714285714286,5.0,-0.464341709315,4,0.01,Gender/Sciences,0.022833511699,0.175038
0.9,9.0,0.8,8.0,0.04,1.0,0.16,4.0,1.51096774224,5,0.01,Pleasantness/Flowers,0.129439035172,0.100027
1.0,5.0,0.8,4.0,0.857142857143,6.0,1.0,7.0,1.25739450059,5,0.01,Gender/Career,0.610568572395,6.4e-05
0.9,9.0,0.8,8.0,1.0,10.0,0.1,1.0,0.194743824824,5,0.01,Unpleasentness/Asian,0.321335594299,0.0
0.9,9.0,0.8,8.0,1.0,10.0,0.5,5.0,1.55734863182,5,0.01,Unpleasantness/Turkish,0.554439718447,0.0
0.9,9.0,0.8,8.0,0.833333333333,5.0,0.5,3.0,1.85936337921,5,0.01,Unpleasantness/Islam,0.371989664518,0.014306
0.8,4.0,0.0,0.0,0.692307692308,9.0,0.230769230769,3.0,,5,0.01,Gender/Competence,,
1.0,8.0,1.0,8.0,0.666666666667,4.0,0.714285714286,5.0,-0.327256567049,5,0.01,Gender/Sciences,0.022833511699,0.174768
0.9,9.0,0.9,9.0,0.04,1.0,0.12,3.0,1.03384960618,6,0.01,Pleasantness/Flowers,0.105936798319,0.166861
1.0,5.0,0.8,4.0,0.857142857143,6.0,1.0,7.0,1.4997349781,6,0.01,Gender/Career,0.610568572395,5.8e-05
0.9,9.0,0.9,9.0,1.0,10.0,0.1,1.0,1.98964729182,6,0.01,Unpleasentness/Asian,0.321335594299,0.0
0.9,9.0,0.9,9.0,1.0,10.0,0.4,4.0,1.82149087476,6,0.01,Unpleasantness/Turkish,0.489372420461,0.0
0.9,9.0,0.9,9.0,0.833333333333,5.0,0.666666666667,4.0,1.61124433643,6,0.01,Unpleasantness/Islam,0.387436243292,0.00799
0.4,2.0,0.0,0.0,0.692307692308,9.0,0.230769230769,3.0,,6,0.01,Gender/Competence,,
1.0,8.0,1.0,8.0,0.666666666667,4.0,0.714285714286,5.0,-1.33649220804,6,0.01,Gender/Sciences,0.022833511699,0.174276
0.9,9.0,0.8,8.0,0.04,1.0,0.16,4.0,1.10690054548,7,0.01,Pleasantness/Flowers,0.129439035172,0.099829
1.0,5.0,0.8,4.0,0.857142857143,6.0,1.0,7.0,1.55286387947,7,0.01,Gender/Career,0.610568572395,5.4e-05
0.9,9.0,0.8,8.0,1.0,10.0,0.2,2.0,2.16408502986,7,0.01,Unpleasentness/Asian,0.368481894257,0.0
0.9,9.0,0.8,8.0,1.0,10.0,0.6,6.0,1.83197486393,7,0.01,Unpleasantness/Turkish,0.605076090045,0.0
0.9,9.0,0.8,8.0,0.833333333333,5.0,0.666666666667,4.0,1.51157370464,7,0.01,Unpleasantness/Islam,0.387436243292,0.008009
0.4,2.0,0.0,0.0,0.692307692308,9.0,0.230769230769,3.0,,7,0.01,Gender/Competence,,
1.0,8.0,1.0,8.0,0.666666666667,4.0,0.714285714286,5.0,0.689764680468,7,0.01,Gender/Sciences,0.022833511699,0.174356
